name,category,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein
cabbage,Vegetable,100g,23.4,0.1,0,0,7,5.5,1.9,2.8,1.3
celery,Vegetable,100g,17.9,0.2,0.1,0,91,4,1.6,2.4,0.8
kale,Vegetable,100g,27.2,0.4,0.1,0,23,5.6,2,1.3,1.9
beet,Vegetable,100g,43.1,0.2,0,0,76,10.1,2,7.9,1.7
radish,Vegetable,100g,15.5,0,0,0,39,3.3,1.6,1.8,0.7
pumpkin,Vegetable,100g,20.5,0.1,0,0,0,4.9,1.1,2.1,0.7
sweet potato,Vegetable,100g,77.5,0.1,0,0,26,17.5,2.5,5.8,1.4
brussels sprouts,Vegetable,100g,36.6,0.5,0.1,0,20,7.1,2.6,1.7,2.6
green bean,Vegetable,100g,35,0.3,0.1,0,0,7.9,3.2,3.6,1.9
pea,Vegetable,100g,85.1,0.2,0,0,3,15.5,5.6,5.9,5.4
artichoke,Vegetable,100g,53.7,0.3,0.1,0,60,11.7,5.7,1,2.9
fennel,Vegetable,100g,30.7,0.2,0.1,0,51,7.3,3.1,3.9,1.2
bok choy,Vegetable,100g,12.3,0.2,0,0,34,1.8,1,0.8,1.6
turnip,Vegetable,100g,21.5,0.1,0,0,16,5,2,3,0.7
arugula,Vegetable,100g,25.5,0.7,0.1,0,26,3.7,1.6,2.1,2.6
watercress,Vegetable,100g,11,0.1,0,0,40,1.3,0.5,0.2,2.3
swiss chard,Vegetable,100g,20,0.1,0,0,181,4.2,2.1,1.1,1.9
mushroom,Vegetable,100g,28,0.5,0.1,0,1,5.3,2.1,2.3,2.1
parsnip,Vegetable,100g,72.5,0.3,0.1,0,10,17.1,3.6,4.8,1.3
butternut squash,Vegetable,100g,40.8,0.1,0,0,3,10.3,3.2,2,0.9
red onion,Vegetable,100g,43.7,0.2,0,0,3,10.1,1.4,4.7,1.4
scallion,Vegetable,100g,32,0.2,0,0,16,7.3,2.6,2.3,1.8
snap pea,Vegetable,100g,42,0.4,0,0,3,6.9,2.7,3.8,3.4
endive,Vegetable,100g,17.4,0.1,0,0,1,3.9,3.1,0,0.9
romaine,Vegetable,100g,16.5,0.3,0,0,7,3.2,2.1,1.2,1.2
daikon,Vegetable,100g,16.7,0.2,0.1,0,13,3.4,1.6,1.8,0.7
chayote,Vegetable,100g,24.4,0.5,0,0,1,5,2.9,1.9,0.6
napa cabbage,Vegetable,100g,11.8,0.2,0,0,11,2.2,0,0,1.1
okra,Vegetable,100g,22.5,0.2,0,0,5,4.6,2.5,2.4,1.9
horseradish,Vegetable,100g,48.3,0.6,0,0,420,11.1,3.3,8,1.2
