name,category,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein
tomato,Carbohydrate,100g,18.2,0.2,0,0,4,3.9,1.2,2.6,0.9
cabbage,Carbohydrate,100g,23.4,0.1,0,0,7,5.5,1.9,2.8,1.3
lettuce,Carbohydrate,100g,17,0.3,0,0,7,3.3,2.1,1.2,1.2
olive oil,Fat,100g,869.2,101.2,13.9,0,1,0,0,0,0
butter,Fat,100g,721.5,79.6,51.1,215,637,0.1,0,0.1,0.8
coconut oil,Fat,100g,881.6,98.8,83.1,0,0,0,0,0,0
canola oil,Fat,100g,886.3,98.2,7.3,0,0,0,0,0,0
avocado oil,Fat,100g,910.4,100.3,11.7,0,0,0,0,0,0
almond oil,Fat,100g,890.8,98.1,8.2,0,0,0,0,0,0
peanut butter,Fat,100g,579.7,49.6,9.6,0,477,24,5.6,6.5,22.1
mayonnaise,Fat,100g,689.3,74.7,11.8,41,626,0.6,0,0.6,0.9
granulated sugar,Sugar,100g,394.9,0,0,0,1,99.1,0,99.7,0
brown sugar,Sugar,100g,381.1,0,0,0,27,98.8,0,97.8,0
honey,Fat,100g,302.9,0,0,0,3,83,0.2,82.6,0.3
maple syrup,Fat,100g,267.5,0,0,0,11,67.8,0,59.9,0.1
corn syrup,Fat,100g,279.8,0.2,0,0,61,75.8,0,76.3,0
agave nectar,Fat,100g,313.1,0.4,0,0,4,76.3,0.1,67.6,0.1
coconut sugar,Sugar,100g,381.6,0,0,0,1,98.2,0,99.3,0
sugar cane,Sugar,100g,384.3,0,0,0,1,100.7,0,99.5,0
corn syrup,Fat,100g,279.8,0.2,0,0,61,75.8,0,76.3,0
powdered sugar,Sugar,100g,391.1,0,0,0,2,98.1,0,97.1,0
sweetened condensed milk,Fat,100g,317.1,8.8,5.5,34,128,54.8,0,54.5,7.9
margarine,Fat,100g,700.5,80.7,15.4,0,1,0.7,0,0,0.1
apple,Fruit,100g,53,0.2,0,0,1,14.1,2.4,10.3,0.3
banana,Fruit,100g,89.4,0.3,0.1,0,1,23.2,2.6,12.3,1.1
orange,Fruit,100g,50.4,0.1,0,0,1,12.4,2.2,8.4,0.9
grape,Fruit,100g,67.4,0.2,0.1,0,1,18.3,0.9,15.6,0.7
watermelon,Fruit,100g,30.3,0.1,0,0,0,7.4,0.4,6.2,0.6
pineapple,Fruit,100g,50.8,0.1,0,0,0,13,1.4,9.9,0.5
kiwi,Fruit,100g,59.5,0.5,0,0,3,14.9,3,9.1,1.1
strawberry,Fruit,100g,31.9,0.3,0,0,0,7.7,2,4.9,0.7
blueberry,Fruit,100g,56.2,0,0,0,0,14.8,2.2,10.4,0.7
raspberry,Fruit,100g,52.7,0.5,0,0,1,11.9,6.5,4.5,1
peach,Fruit,100g,39.9,0.3,0,0,0,9.7,1.5,8.5,0.9
plum,Fruit,100g,46.2,0.3,0,0,0,11.4,1.4,9.9,0.7
apricot,Fruit,100g,48.3,0.4,0,0,0,11.1,2,9.3,1.4
cherry,Fruit,100g,63.8,0.2,0,0,0,15.9,2.1,12.8,1.1
mango,Fruit,100g,61.6,0.4,0.1,0,0,14.8,1.6,13.6,0.8
papaya,Fruit,100g,43,0.3,0.1,0,7,10.8,1.7,7.8,0.5
pomegranate,Fruit,100g,84.2,1.2,0.1,0,2,18.5,4.1,13.7,1.7
coconut,Fruit,100g,455.3,28.3,26.3,0,288,52.3,9.9,36.9,3.2
lemon,Fruit,100g,29,0.3,0,0,2,9.3,2.7,2.5,1.1
lime,Fruit,100g,29.6,0.2,0,0,2,10.6,2.9,1.7,0.7
tangerine,Fruit,100g,51.5,0.3,0,0,1,13.3,1.8,10.6,0.8
nectarine,Fruit,100g,45.2,0.3,0,0,0,10.5,1.7,7.8,1
fig,Fruit,100g,76.1,0.3,0.1,0,0,19.4,2.9,16.4,0.8
date,Fruit,100g,288.3,0.4,0,0,1,75.4,8.2,63.2,2.4
guava,Fruit,100g,67.7,0.9,0.3,0,1,14.4,5.5,8.9,2.5
jackfruit,Fruit,100g,94.9,0.6,0.2,0,2,23.4,1.5,19,1.7
dragonfruit,Fruit,100g,31.3,0.3,0,0,3,7.3,1.5,4.5,0.6
cantaloupe,Fruit,100g,33.8,0.2,0,0,15,8.1,0.9,7.8,0.8
honeydew,Fruit,100g,36.5,0.1,0,0,17,9,0.8,8.1,0.5
persimmon,Fruit,100g,69.4,0.2,0,0,0,18.8,3.6,12.6,0.6
cranberry,Fruit,100g,45.4,0.1,0,0,1,12.2,3.6,4.3,0.5
currant,Fruit,100g,288.7,0.3,0,0,7,73.7,6.8,67.9,4.1
blackberry,Fruit,100g,44,0.5,0,0,1,9.5,5.2,5,1.4
clementine,Fruit,100g,47,0.1,0,0,0,11.8,1.7,9.2,0.8
blood orange,Fruit,100g,49.6,0.2,0,0,1,12.8,2.2,8.6,0.9
soursop,Fruit,100g,67.4,0.3,0,0,14,16.9,3.3,13.5,1
starfruit,Fruit,100g,30.9,0.3,0,0,1,6.8,2.8,4,1
rhubarb,Fruit,100g,20.5,0.2,0.1,0,3,4.5,1.8,1.1,0.9
gooseberry,Fruit,100g,44.1,0.6,0,0,0,10.1,4.2,0,0.9
mulberry,Fruit,100g,42.8,0.4,0,0,9,9.8,1.7,8.2,1.4
lingonberry,Fruit,100g,58.5,0.3,0,0,1,14.3,2.4,10,0.7
quince,Fruit,100g,58,0.1,0,0,3,15,1.9,0,0.4
longan,Fruit,100g,58.8,0,0,0,0,14.8,1.2,0,1.3
rambutan,Fruit,100g,81.8,0.2,0,0,10,21.1,0.9,0,0.7
tamarind,Fruit,100g,232.2,0.6,0.3,0,27,63,5,39.1,2.8
cherimoya,Fruit,100g,77,0.7,0.2,0,6,17.8,2.9,12.8,1.6
ackee,Fruit,100g,181.3,18.7,1.8,0,3,3.9,1.9,0.7,4.3
rose,Fruit,100g,85.4,0,0,0,5,3.8,0,3.8,0.4
cherry,Fruit,100g,63.8,0.2,0,0,0,15.9,2.1,12.8,1.1
pummelo,Fruit,100g,37.5,0,0,0,1,9.8,1,0,0.8
jackfruit,Fruit,100g,94.9,0.6,0.2,0,2,23.4,1.5,19,1.7
lime,Fruit,100g,29.6,0.2,0,0,2,10.6,2.9,1.7,0.7
fruit,Fruit,100g,60.8,0.3,0,0,1,15.3,2,10.1,0.8
soursop,Fruit,100g,67.4,0.3,0,0,14,16.9,3.3,13.5,1
sapodilla,Fruit,100g,81.2,1.1,0.2,0,12,19.7,5.2,0,0.4
pear,Fruit,100g,56.7,0.1,0,0,1,14.9,3.1,9.8,0.4
jicama,Fruit,100g,38.2,0.1,0,0,3,8.9,4.9,1.8,0.7
orange,Fruit,100g,50.4,0.1,0,0,1,12.4,2.2,8.4,0.9
